SAMPLENAME	old_samplename	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZK22_63m_2021427_NK_Colon_cfu_CD206_sampled_i512_26_S24_L002_R1_001.fastq	ZK22_63m_2021427_NK_Colon_cfu_CD206_sampled_i512_26_S24_L002_R1_001.fastq	ZK22	63m	2021	4	27	NK	NK	Colon	cfu	CD206	ZK22 63m 2021427 NK Colon cfu CD206	2132959	2435017	87.59524061	100	GAGTTC	63
ZK22_63m_2021427_B_Colon_cfu_CD206_sampled_i512_25_S23_L002_R1_001.fastq	ZK22_63m_2021427_B_Colon_cfu_CD206_sampled_i512_25_S23_L002_R1_001.fastq	ZK22	63m	2021	4	27	B	B	Colon	cfu	CD206	ZK22 63m 2021427 B Colon cfu CD206	207291	402129	51.54838373	100	GAGTTC	63
ZK22_63m_2021427_T_Colon_cfu_CD206_sampled_i512_24_S22_L002_R1_001.fastq	ZK22_63m_2021427_T_Colon_cfu_CD206_sampled_i512_24_S22_L002_R1_001.fastq	ZK22	63m	2021	4	27	T	T	Colon	cfu	CD206	ZK22 63m 2021427 T Colon cfu CD206	343918	4000000	8.59795	100	GAGTTC	63
ZK22_63m_2021427_Macrophage_Jejunum_cfu_CD206_sampled_i512_22_S21_L002_R1_001.fastq	ZK22_63m_2021427_Macrophage_Jejunum_cfu_CD206_sampled_i512_22_S21_L002_R1_001.fastq	ZK22	63m	2021	4	27	Macrophage	Macrophage	Jejunum	cfu	CD206	ZK22 63m 2021427 Macrophage Jejunum cfu CD206	602641	1035086	58.22134586	100	GAGTTC	63
ZK22_63m_2021427_NK_Jejunum_cfu_CD206_sampled_i512_21_S20_L002_R1_001.fastq	ZK22_63m_2021427_NK_Jejunum_cfu_CD206_sampled_i512_21_S20_L002_R1_001.fastq	ZK22	63m	2021	4	27	NK	NK	Jejunum	cfu	CD206	ZK22 63m 2021427 NK Jejunum cfu CD206	520653	1095957	47.50669962	100	GAGTTC	63
ZK22_63m_2021427_B_Jejunum_cfu_CD206_sampled_i512_20_S19_L002_R1_001.fastq	ZK22_63m_2021427_B_Jejunum_cfu_CD206_sampled_i512_20_S19_L002_R1_001.fastq	ZK22	63m	2021	4	27	B	B	Jejunum	cfu	CD206	ZK22 63m 2021427 B Jejunum cfu CD206	840798	2667696	31.51775915	100	GAGTTC	63
ZK22_63m_2021427_T_Jejunum_cfu_CD206_sampled_i512_19_S18_L002_R1_001.fastq	ZK22_63m_2021427_T_Jejunum_cfu_CD206_sampled_i512_19_S18_L002_R1_001.fastq	ZK22	63m	2021	4	27	T	T	Jejunum	cfu	CD206	ZK22 63m 2021427 T Jejunum cfu CD206	3278143	4000000	81.953575	100	GAGTTC	63
ZK22_63m_202154_Macrophage_Spleen_cfu_CD206_sampled_i512_17_S17_L002_R1_001.fastq	ZK22_63m_202154_Macrophage_Spleen_cfu_CD206_sampled_i512_17_S17_L002_R1_001.fastq	ZK22	63m	2021	5	4	Macrophage	Macrophage	Spleen	cfu	CD206	ZK22 63m 202154 Macrophage Spleen cfu CD206	3462064	4000000	86.5516	100	GAGTTC	63
ZK22_63m_202154_NK_Spleen_cfu_CD206_sampled_i512_16_S16_L002_R1_001.fastq	ZK22_63m_202154_NK_Spleen_cfu_CD206_sampled_i512_16_S16_L002_R1_001.fastq	ZK22	63m	2021	5	4	NK	NK	Spleen	cfu	CD206	ZK22 63m 202154 NK Spleen cfu CD206	3494904	4000000	87.3726	100	GAGTTC	63
ZK22_63m_202154_B_Spleen_cfu_CD206_sampled_i512_15_S15_L002_R1_001.fastq	ZK22_63m_202154_B_Spleen_cfu_CD206_sampled_i512_15_S15_L002_R1_001.fastq	ZK22	63m	2021	5	4	B	B	Spleen	cfu	CD206	ZK22 63m 202154 B Spleen cfu CD206	3450934	4000000	86.27335	100	GAGTTC	63
ZK22_63m_202154_T_Spleen_cfu_CD206_sampled_i512_14_S14_L002_R1_001.fastq	ZK22_63m_202154_T_Spleen_cfu_CD206_sampled_i512_14_S14_L002_R1_001.fastq	ZK22	63m	2021	5	4	T	T	Spleen	cfu	CD206	ZK22 63m 202154 T Spleen cfu CD206	3448348	4000000	86.2087	100	GAGTTC	63
ZK22_63m_2021427_NKG2p_DN_NK_PB__CD205_sampled_i512_40_S34_L002_R1_001.fastq	ZK22_63m_2021427_NKG2p_DN_NK_PB__CD205_sampled_i512_40_S34_L002_R1_001.fastq	ZK22	63m	2021	4	27	NKG2p DN NK	NKG2p DN NK	PB		CD205	ZK22 63m 2021427 NKG2p DN NK PB  CD205	3530299	4000000	88.257475	100	GAGTTC	63
ZK22_63m_2021427_NKG2pCD56p_NK_PB__CD205_sampled_i512_39_S33_L002_R1_001.fastq	ZK22_63m_2021427_NKG2pCD56p_NK_PB__CD205_sampled_i512_39_S33_L002_R1_001.fastq	ZK22	63m	2021	4	27	NKG2pCD56p NK	NKG2pCD56p NK	PB		CD205	ZK22 63m 2021427 NKG2pCD56p NK PB  CD205	2027998	3618986	56.03774096	100	GAGTTC	63
ZK22_63m_2021427_NKG2pCD16p_NK_PB__CD205_sampled_i512_38_S32_L002_R1_001.fastq	ZK22_63m_2021427_NKG2pCD16p_NK_PB__CD205_sampled_i512_38_S32_L002_R1_001.fastq	ZK22	63m	2021	4	27	NKG2pCD16p NK	NKG2pCD16p NK	PB		CD205	ZK22 63m 2021427 NKG2pCD16p NK PB  CD205	3482378	4000000	87.05945	100	GAGTTC	63
ZK22_63m_2021427_CD14p_PB__CD205_sampled_i512_37_S31_L002_R1_001.fastq	ZK22_63m_2021427_CD14p_PB__CD205_sampled_i512_37_S31_L002_R1_001.fastq	ZK22	63m	2021	4	27	CD14p	CD14p	PB		CD205	ZK22 63m 2021427 CD14p PB  CD205	3402292	4000000	85.0573	100	GAGTTC	63
ZK22_63m_2021427_B_PB__CD205_sampled_i512_36_S30_L002_R1_001.fastq	ZK22_63m_2021427_B_PB__CD205_sampled_i512_36_S30_L002_R1_001.fastq	ZK22	63m	2021	4	27	B	B	PB		CD205	ZK22 63m 2021427 B PB  CD205	3382408	4000000	84.5602	100	GAGTTC	63
ZK22_63m_2021427_T_PB__CD205_sampled_i512_35_S29_L002_R1_001.fastq	ZK22_63m_2021427_T_PB__CD205_sampled_i512_35_S29_L002_R1_001.fastq	ZK22	63m	2021	4	27	T	T	PB		CD205	ZK22 63m 2021427 T PB  CD205	3437456	4000000	85.9364	100	GAGTTC	63
ZK22_63m_2021427_CD14pCD163n_classical_Mono_PB__CD205_sampled_i512_33_S28_L002_R1_001.fastq	ZK22_63m_2021427_CD14pCD163n_classical_Mono_PB__CD205_sampled_i512_33_S28_L002_R1_001.fastq	ZK22	63m	2021	4	27	CD14pCD163n classical Mono	CD14pCD163n classical Mono	PB		CD205	ZK22 63m 2021427 CD14pCD163n classical Mono PB  CD205	3311763	4000000	82.794075	100	GAGTTC	63
ZK22_63m_2021427_CD14pCD163p_Marophage_PB__CD205_sampled_i512_32_S27_L002_R1_001.fastq	ZK22_63m_2021427_CD14pCD163p_Marophage_PB__CD205_sampled_i512_32_S27_L002_R1_001.fastq	ZK22	63m	2021	4	27	CD14pCD163p Marophage	CD14pCD163p Marophage	PB		CD205	ZK22 63m 2021427 CD14pCD163p Marophage PB  CD205	3397901	4000000	84.947525	100	GAGTTC	63
ZK22_63m_2021427_CD16pNKG2n_non_classical_Mono_PB__CD205_sampled_i512_31_S26_L002_R1_001.fastq	ZK22_63m_2021427_CD16pNKG2n_non_classical_Mono_PB__CD205_sampled_i512_31_S26_L002_R1_001.fastq	ZK22	63m	2021	4	27	CD16pNKG2n non classical Mono	CD16pNKG2n non classical Mono	PB		CD205	ZK22 63m 2021427 CD16pNKG2n non classical Mono PB  CD205	3388166	4000000	84.70415	100	GAGTTC	63
ZK22_63m_2021427_CD16pNKG2p_NK_PB__CD205_sampled_i512_28_S25_L002_R1_001.fastq	ZK22_63m_2021427_CD16pNKG2p_NK_PB__CD205_sampled_i512_28_S25_L002_R1_001.fastq	ZK22	63m	2021	4	27	CD16pNKG2p NK	CD16pNKG2p NK	PB		CD205	ZK22 63m 2021427 CD16pNKG2p NK PB  CD205	3470683	4000000	86.767075	100	GAGTTC	63
ZK22_62m_202146_Macrophage_Spleen__CD204_sampled_i512_39_S33_L001_R1_001.fastq	ZK22_62m_202146_Macrophage_Spleen__CD204_sampled_i512_39_S33_L001_R1_001.fastq	ZK22	62m	2021	4	6	Macrophage	Macrophage	Spleen		CD204	ZK22 62m 202146 Macrophage Spleen  CD204	3401110	4000000	85.02775	100	GAGTTC	62
ZK22_62m_202146_NKG2p_NK_Spleen__CD204_sampled_i512_38_S32_L001_R1_001.fastq	ZK22_62m_202146_NKG2p_NK_Spleen__CD204_sampled_i512_38_S32_L001_R1_001.fastq	ZK22	62m	2021	4	6	NKG2p NK	NKG2p NK	Spleen		CD204	ZK22 62m 202146 NKG2p NK Spleen  CD204	3464498	4000000	86.61245	100	GAGTTC	62
ZK22_62m_202146_B_Spleen__CD204_sampled_i512_37_S31_L001_R1_001.fastq	ZK22_62m_202146_B_Spleen__CD204_sampled_i512_37_S31_L001_R1_001.fastq	ZK22	62m	2021	4	6	B	B	Spleen		CD204	ZK22 62m 202146 B Spleen  CD204	3421799	4000000	85.544975	100	GAGTTC	62
ZK22_62m_202146_T_Spleen__CD204_sampled_i512_36_S30_L001_R1_001.fastq	ZK22_62m_202146_T_Spleen__CD204_sampled_i512_36_S30_L001_R1_001.fastq	ZK22	62m	2021	4	6	T	T	Spleen		CD204	ZK22 62m 202146 T Spleen  CD204	3428892	4000000	85.7223	100	GAGTTC	62
ZK22_62m_2021330_NKG2p_NK_Jejunum__CD204_sampled_i512_35_S29_L001_R1_001.fastq	ZK22_62m_2021330_NKG2p_NK_Jejunum__CD204_sampled_i512_35_S29_L001_R1_001.fastq	ZK22	62m	2021	3	30	NKG2p NK	NKG2p NK	Jejunum		CD204	ZK22 62m 2021330 NKG2p NK Jejunum  CD204	55691	372179	14.96349875	100	GAGTTC	62
ZK22_62m_2021330_B_Jejunum__CD204_sampled_i512_33_S28_L001_R1_001.fastq	ZK22_62m_2021330_B_Jejunum__CD204_sampled_i512_33_S28_L001_R1_001.fastq	ZK22	62m	2021	3	30	B	B	Jejunum		CD204	ZK22 62m 2021330 B Jejunum  CD204	1497937	2154279	69.53310133	100	GAGTTC	62
ZK22_62m_2021330_Macrophage_Jejunum__CD204_sampled_i512_32_S27_L001_R1_001.fastq	ZK22_62m_2021330_Macrophage_Jejunum__CD204_sampled_i512_32_S27_L001_R1_001.fastq	ZK22	62m	2021	3	30	Macrophage	Macrophage	Jejunum		CD204	ZK22 62m 2021330 Macrophage Jejunum  CD204	1967074	4000000	49.17685	100	GAGTTC	62
ZK22_62m_2021330_T_Jejunum__CD204_sampled_i512_31_S26_L001_R1_001.fastq	ZK22_62m_2021330_T_Jejunum__CD204_sampled_i512_31_S26_L001_R1_001.fastq	ZK22	62m	2021	3	30	T	T	Jejunum		CD204	ZK22 62m 2021330 T Jejunum  CD204	3382149	4000000	84.553725	100	GAGTTC	62
ZK22_62m_2021330_Macrophage_BAL__CD204_sampled_i512_08_S8_L001_R1_001.fastq	ZK22_62m_2021330_Macrophage_BAL__CD204_sampled_i512_08_S8_L001_R1_001.fastq	ZK22	62m	2021	3	30	Macrophage	Macrophage	BAL		CD204	ZK22 62m 2021330 Macrophage BAL  CD204	3426391	4000000	85.659775	100	GAGTTC	62
ZK22_62m_2021330_NKG2p_NK_BAL__CD204_sampled_i512_07_S7_L001_R1_001.fastq	ZK22_62m_2021330_NKG2p_NK_BAL__CD204_sampled_i512_07_S7_L001_R1_001.fastq	ZK22	62m	2021	3	30	NKG2p NK	NKG2p NK	BAL		CD204	ZK22 62m 2021330 NKG2p NK BAL  CD204	74208	481369	15.41603219	100	GAGTTC	62
ZK22_62m_2021330_B_BAL__CD204_sampled_i512_06_S6_L001_R1_001.fastq	ZK22_62m_2021330_B_BAL__CD204_sampled_i512_06_S6_L001_R1_001.fastq	ZK22	62m	2021	3	30	B	B	BAL		CD204	ZK22 62m 2021330 B BAL  CD204	443693	816001	54.37407552	100	GAGTTC	62
ZK22_62m_2021330_T_BAL__CD204_sampled_i512_05_S5_L001_R1_001.fastq	ZK22_62m_2021330_T_BAL__CD204_sampled_i512_05_S5_L001_R1_001.fastq	ZK22	62m	2021	3	30	T	T	BAL		CD204	ZK22 62m 2021330 T BAL  CD204	1481453	1757301	84.30274609	100	GAGTTC	62
ZK22_62m_2021330_Macrophage_Colon__CD204_sampled_i512_04_S4_L001_R1_001.fastq	ZK22_62m_2021330_Macrophage_Colon__CD204_sampled_i512_04_S4_L001_R1_001.fastq	ZK22	62m	2021	3	30	Macrophage	Macrophage	Colon		CD204	ZK22 62m 2021330 Macrophage Colon  CD204	11342	2304712	0.492122226	100	GAGTTC	62
ZK22_62m_2021330_NKG2p_NK_Colon__CD204_sampled_i512_03_S3_L001_R1_001.fastq	ZK22_62m_2021330_NKG2p_NK_Colon__CD204_sampled_i512_03_S3_L001_R1_001.fastq	ZK22	62m	2021	3	30	NKG2p NK	NKG2p NK	Colon		CD204	ZK22 62m 2021330 NKG2p NK Colon  CD204	271723	2215774	12.26311889	100	GAGTTC	62
ZK22_62m_2021330_B_Colon__CD204_sampled_i512_02_S2_L001_R1_001.fastq	ZK22_62m_2021330_B_Colon__CD204_sampled_i512_02_S2_L001_R1_001.fastq	ZK22	62m	2021	3	30	B	B	Colon		CD204	ZK22 62m 2021330 B Colon  CD204	37881	252591	14.99697139	100	GAGTTC	62
ZK22_62m_2021330_T_Colon__CD204_sampled_i512_01_S1_L001_R1_001.fastq	ZK22_62m_2021330_T_Colon__CD204_sampled_i512_01_S1_L001_R1_001.fastq	ZK22	62m	2021	3	30	T	T	Colon		CD204	ZK22 62m 2021330 T Colon  CD204	1448399	2097125	69.06593551	100	GAGTTC	62
ZK22_62m_202146_Macrophage_Liver__CD203_sampled_i512_40_S34_L002_R1_001.fastq	ZK22_62m_202146_Macrophage_Liver__CD203_sampled_i512_40_S34_L002_R1_001.fastq	ZK22	62m	2021	4	6	Macrophage	Macrophage	Liver		CD203	ZK22 62m 202146 Macrophage Liver  CD203	3260140	4000000	81.5035	100	GAGTTC	62
ZK22_62m_202146_NKG2p_NK_Liver__CD203_sampled_i512_39_S33_L002_R1_001.fastq	ZK22_62m_202146_NKG2p_CXCR3p_NK_Liver__CD203_sampled_i512_39_S33_L002_R1_001.fastq	ZK22	62m	2021	4	6	NKG2p_NK	NKG2p_NK	Liver		CD203	ZK22 62m 202146 NKG2p_CXCR3p_NK Liver  CD203	3424559	4000000	85.613975	100	GAGTTC	62
ZK22_62m_202146_B_Liver__CD203_sampled_i512_38_S32_L002_R1_001.fastq	ZK22_62m_202146_B_Liver__CD203_sampled_i512_38_S32_L002_R1_001.fastq	ZK22	62m	2021	4	6	B	B	Liver		CD203	ZK22 62m 202146 B Liver  CD203	3278231	4000000	81.955775	100	GAGTTC	62
ZK22_62m_202146_T_Liver__CD203_sampled_i512_37_S31_L002_R1_001.fastq	ZK22_62m_202146_T_Liver__CD203_sampled_i512_37_S31_L002_R1_001.fastq	ZK22	62m	2021	4	6	T	T	Liver		CD203	ZK22 62m 202146 T Liver  CD203	3364425	4000000	84.110625	100	GAGTTC	62
ZK22_62m_2021330_Gr_PB__CD203_sampled_i512_36_S30_L002_R1_001.fastq	ZK22_62m_2021330_Gr_PB__CD203_sampled_i512_36_S30_L002_R1_001.fastq	ZK22	62m	2021	3	30	Gr	Gr	PB		CD203	ZK22 62m 2021330 Gr PB  CD203	3432300	4000000	85.8075	100	GAGTTC	62
ZK22_62m_2021330_CD14p_CD163p_Macrophage_PB__CD203_sampled_i512_35_S29_L002_R1_001.fastq	ZK22_62m_2021330_CD14p_CD163p_Macrophage_PB__CD203_sampled_i512_35_S29_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD14p_CD163p_Macrophage	CD14p_CD163p_Macrophage	PB		CD203	ZK22 62m 2021330 CD14p_CD163p_Macrophage PB  CD203	3389047	4000000	84.726175	100	GAGTTC	62
ZK22_62m_2021330_DN_NK_PB__CD203_sampled_i512_08_S8_L002_R1_001.fastq	ZK22_62m_2021330_DN_NK_PB__CD203_sampled_i512_08_S8_L002_R1_001.fastq	ZK22	62m	2021	3	30	DN_NK	DN_NK	PB		CD203	ZK22 62m 2021330 DN_NK PB  CD203	1587459	2035961	77.97099257	100	GAGTTC	62
ZK22_62m_2021330_CD16p_CD14n_non_classic_Mono_PB__CD203_sampled_i512_07_S7_L002_R1_001.fastq	ZK22_62m_2021330_CD16p_CD14n_non_classic_Mono_PB__CD203_sampled_i512_07_S7_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD16p_CD14n_non_classic_Mono	CD16p_CD14n_non_classic_Mono	PB		CD203	ZK22 62m 2021330 CD16p_CD14n_non_classic_Mono PB  CD203	3426227	4000000	85.655675	100	GAGTTC	62
ZK22_62m_2021330_CD16p_NKG2p_NK_PB__CD203_sampled_i512_06_S6_L002_R1_001.fastq	ZK22_62m_2021330_CD16p_NKG2p_NK_PB__CD203_sampled_i512_06_S6_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD16p_NKG2p_NK	CD16p_NKG2p_NK	PB		CD203	ZK22 62m 2021330 CD16p_NKG2p_NK PB  CD203	3497872	4000000	87.4468	100	GAGTTC	62
ZK22_62m_2021330_CD56p_PB__CD203_sampled_i512_05_S5_L002_R1_001.fastq	ZK22_62m_2021330_CD56p_PB__CD203_sampled_i512_05_S5_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD56p	CD56p	PB		CD203	ZK22 62m 2021330 CD56p PB  CD203	598969	1357729	44.11550464	100	GAGTTC	62
ZK22_62m_2021330_CD16p_PB__CD203_sampled_i512_04_S4_L002_R1_001.fastq	ZK22_62m_2021330_CD16p_PB__CD203_sampled_i512_04_S4_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD16p	CD16p	PB		CD203	ZK22 62m 2021330 CD16p PB  CD203	3518109	4000000	87.952725	100	GAGTTC	62
ZK22_62m_2021330_CD14p_PB__CD203_sampled_i512_03_S3_L002_R1_001.fastq	ZK22_62m_2021330_CD14p_PB__CD203_sampled_i512_03_S3_L002_R1_001.fastq	ZK22	62m	2021	3	30	CD14p	CD14p	PB		CD203	ZK22 62m 2021330 CD14p PB  CD203	3410113	4000000	85.252825	100	GAGTTC	62
ZK22_62m_2021330_B_PB__CD203_sampled_i512_02_S2_L002_R1_001.fastq	ZK22_62m_2021330_B_PB__CD203_sampled_i512_02_S2_L002_R1_001.fastq	ZK22	62m	2021	3	30	B	B	PB		CD203	ZK22 62m 2021330 B PB  CD203	3414069	4000000	85.351725	100	GAGTTC	62
ZK22_62m_2021330_T_PB__CD203_sampled_i512_01_S1_L002_R1_001.fastq	ZK22_62m_2021330_T_PB__CD203_sampled_i512_01_S1_L002_R1_001.fastq	ZK22	62m	2021	3	30	T	T	PB		CD203	ZK22 62m 2021330 T PB  CD203	3442744	4000000	86.0686	100	GAGTTC	62
ZK22_62m_2021330_CD14p_CD163n_PB__CD202_sampled_i512_40_S34_L001_R1_001.fastq	ZK22_62m_2021330_CD14p_CD163n_PB__CD202_sampled_i512_40_S34_L001_R1_001.fastq	ZK22	62m	2021	3	30	CD14p_CD163n	CD14p_CD163n	PB		CD202	ZK22 62m 2021330 CD14p_CD163n PB  CD202	3399435	4000000	84.985875	100	GAGTTC	62
ZK22_62m_2021330_DN_CXC3R1p_PB__CD202_sampled_i512_39_S33_L001_R1_001.fastq	ZK22_62m_2021330_DN_CXCR3p_PB__CD202_sampled_i512_39_S33_L001_R1_001.fastq	ZK22	62m	2021	3	30	DN_CX3CR1p	DN_CX3CR1p	PB		CD202	ZK22 62m 2021330 DN_CXCR3p PB  CD202	3748496	4000000	93.7124	100	GAGTTC	62
ZK22_62m_2021330_DN_CXCR3p_PB__CD202_sampled_i512_38_S32_L001_R1_001.fastq	ZK22_62m_2021330_DN_CX3CR1p_PB__CD202_sampled_i512_38_S32_L001_R1_001.fastq	ZK22	62m	2021	3	30	DN_CXCR3p	DN_CXCR3p	PB		CD202	ZK22 62m 2021330 DN_CX3CR1p PB  CD202	3283975	4000000	82.099375	100	GAGTTC	62
ZK22_62m_2021330_CD16p_CX3CR1p_PB__CD202_sampled_i512_37_S31_L001_R1_001.fastq	ZK22_62m_2021330_CD16p_CXCR3p_PB__CD202_sampled_i512_37_S31_L001_R1_001.fastq	ZK22	62m	2021	3	30	CD16p_CX3CR1p	CD16p_CX3CR1p	PB		CD202	ZK22 62m 2021330 CD16p_CXCR3p PB  CD202	13877	15421	89.98767914	100	GAGTTC	62
ZK22_62m_2021330_CD16p_CXCR3p_PB__CD202_sampled_i512_36_S30_L001_R1_001.fastq	ZK22_62m_2021330_CD16p_CX3CR1p_PB__CD202_sampled_i512_36_S30_L001_R1_001.fastq	ZK22	62m	2021	3	30	CD16p_CXCR3p	CD16p_CXCR3p	PB		CD202	ZK22 62m 2021330 CD16p_CX3CR1p PB  CD202	3474822	4000000	86.87055	100	GAGTTC	62
ZK22_45m_2019115_CD56pos_PB__CD184_sampled_I506_S6_L001_R1_001.fastq	ZK22_45m_2019115_CD56pos_PB__CD184_sampled_I506_S6_L001_R1_001.fastq	ZK22	45m				CD56pos	CD56pos	PB		CD184	ZK22 45m 2019115 CD56pos PB  CD184	3089207	4000000	77.230175	100	GAGTTC	45
ZK22_45m_2019115_CD16pos_PB__CD184_sampled_I505_S5_L001_R1_001.fastq	ZK22_45m_2019115_CD16pos_PB__CD184_sampled_I505_S5_L001_R1_001.fastq	ZK22	45m				CD16pos	CD16pos	PB		CD184	ZK22 45m 2019115 CD16pos PB  CD184	3211014	4000000	80.27535	100	GAGTTC	45
ZK22_45m_2019115_Mono_PB__CD184_sampled_I504_S4_L001_R1_001.fastq	ZK22_45m_2019115_Mono_PB__CD184_sampled_I504_S4_L001_R1_001.fastq	ZK22	45m				Mono	Mono	PB		CD184	ZK22 45m 2019115 Mono PB  CD184	3064694	4000000	76.61735	100	GAGTTC	45
ZK22_45m_2019115_B_PB__CD184_sampled_I503_S3_L001_R1_001.fastq	ZK22_45m_2019115_B_PB__CD184_sampled_I503_S3_L001_R1_001.fastq	ZK22	45m				B	B	PB		CD184	ZK22 45m 2019115 B PB  CD184	3254763	4000000	81.369075	100	GAGTTC	45
ZK22_45m_2019115_T_PB__CD184_sampled_I502_S2_L001_R1_001.fastq	ZK22_45m_2019115_T_PB__CD184_sampled_I502_S2_L001_R1_001.fastq	ZK22	45m				T	T	PB		CD184	ZK22 45m 2019115 T PB  CD184	3122047	4000000	78.051175	100	GAGTTC	45
ZK22_45m_2019115_Gr_PB__CD184_sampled_I501_S1_L001_R1_001.fastq	ZK22_45m_2019115_Gr_PB__CD184_sampled_I501_S1_L001_R1_001.fastq	ZK22	45m				Gr	Gr	PB		CD184	ZK22 45m 2019115 Gr PB  CD184	3283782	4000000	82.09455	100	GAGTTC	45
ZK22_41hm_2019726_NKG2pos_CD56pos_GFPpos_LCL_d15__CD180_sampled_I507_S7_L003_R1_001.fastq	ZK22_41hm_2019726_NKG2pos_CD56pos_GFPpos_LCL_d15__CD180_sampled_I507_S7_L003_R1_001.fastq	ZK22	41hm				NKG2pos CD56pos GFPpos	NKG2pos CD56pos GFPpos	LCL d15		CD180	ZK22 41hm 2019726 NKG2pos CD56pos GFPpos LCL d15  CD180	2820081	4000000	70.502025	100	GAGTTC	41.5
