SAMPLENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZG66_106m_2021928_T_liver__CD212_sampled_i512_15_S15_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	liver	NA	CD212	ZG66 106m 2021928 T liver  CD212	1764668	2145649	82.24402	100	GTAGCC	106
ZG66_105hm_2021914_B_PB_repeat_CD212_sampled_i512_17_S17_L002_R1_001.fastq	ZG66	105hm	2021	9	14	B	B	PB	repeat	CD212	ZG66 105hm 2021914 B PB repeat CD212	2831469	4000000	70.786725	100	GTAGCC	105.5
ZG66_106m_2021928_Macrophage_BAL__CD212_sampled_i512_24_S22_L002_R1_001.fastq	ZG66	106m	2021	9	28	Macrophage	Macrophage	BAL	NA	CD212	ZG66 106m 2021928 Macrophage BAL  CD212	3681467	4000000	92.036675	100	GTAGCC	106
ZG66_106m_2021928_Macrophage_spleen__CD212_sampled_i512_14_S14_L002_R1_001.fastq	ZG66	106m	2021	9	28	Macrophage	Macrophage	spleen	NA	CD212	ZG66 106m 2021928 Macrophage spleen  CD212	3142577	3414710	92.030568	100	GTAGCC	106
ZG66_106m_2021928_Macrophage_liver__CD212_sampled_i512_19_S18_L002_R1_001.fastq	ZG66	106m	2021	9	28	Macrophage	Macrophage	liver	NA	CD212	ZG66 106m 2021928 Macrophage liver  CD212	3510834	3835930	91.524976	100	GTAGCC	106
ZG66_106m_2021928_DN_NK_PB__CD212_sampled_i512_06_S6_L002_R1_001.fastq	ZG66	106m	2021	9	28	DN_NK	DN	PB	NA	CD212	ZG66 106m 2021928 DN_NK PB  CD212	2140207	4000000	53.505175	100	GTAGCC	106
ZG66_106m_2021928_Macrophage_jejunum__CD212_sampled_i512_31_S26_L002_R1_001.fastq	ZG66	106m	2021	9	28	Macrophage	Macrophage	jejunum	NA	CD212	ZG66 106m 2021928 Macrophage jejunum  CD212	2237212	2702103	82.795215	100	GTAGCC	106
ZG66_106m_2021928_DN_CX3CR1p_PB__CD212_sampled_i512_10_S10_L002_R1_001.fastq	ZG66	106m	2021	9	28	DN_CX3CR1p	DN_CX3CR1p	PB	NA	CD212	ZG66 106m 2021928 DN_CX3CR1p PB  CD212	2685340	3083437	87.08918	100	GTAGCC	106
ZG66_106m_2021928_Macrophage_colon__CD212_sampled_i512_36_S30_L002_R1_001.fastq	ZG66	106m	2021	9	28	Macrophage	Macrophage	colon	NA	CD212	ZG66 106m 2021928 Macrophage colon  CD212	2995303	3327469	90.017458	100	GTAGCC	106
ZG66_105hm_2021914_DN_NK_PB__CD212_sampled_i512_01_S1_L002_R1_001.fastq	ZG66	105hm	2021	9	14	DN_NK	DN	PB	NA	CD212	ZG66 105hm 2021914 DN_NK PB  CD212	717876	2374387	30.234161	100	GTAGCC	105.5
ZG66_106m_2021928_T_BAL__CD212_sampled_i512_20_S19_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	BAL	NA	CD212	ZG66 106m 2021928 T BAL  CD212	2118160	2433726	87.033627	100	GTAGCC	106
ZG66_106m_2021928_T_colon__CD212_sampled_i512_32_S27_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	colon	NA	CD212	ZG66 106m 2021928 T colon  CD212	1644622	2232926	73.653225	100	GTAGCC	106
ZG66_106m_2021928_B_spleen__CD212_sampled_i512_12_S12_L002_R1_001.fastq	ZG66	106m	2021	9	28	B	B	spleen	NA	CD212	ZG66 106m 2021928 B spleen  CD212	3545007	3931819	90.162009	100	GTAGCC	106
ZG66_105hm_2021914_CD16p_CXCR3p_PB__CD212_sampled_i512_03_S3_L002_R1_001.fastq	ZG66	105hm	2021	9	14	CD16p_CXCR3p	CD16p_CXCR3p	PB	NA	CD212	ZG66 105hm 2021914 CD16p_CXCR3p PB  CD212	66987	3833256	1.747522	100	GTAGCC	105.5
ZG66_104hm_2021817_T_spleen_repeat_CD212_sampled_i512_16_S16_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	spleen	repeat	CD212	ZG66 104hm 2021817 T spleen repeat CD212	270777	573345	47.227585	100	GTAGCC	104.5
ZG66_105hm_2021914_DN_CXCR3p_PB__CD212_sampled_i512_04_S4_L002_R1_001.fastq	ZG66	105hm	2021	9	14	DN_CXCR3p	DN_CXCR3p	PB	NA	CD212	ZG66 105hm 2021914 DN_CXCR3p PB  CD212	483531	2311810	20.915689	100	GTAGCC	105.5
ZG66_105hm_2021914_DN_CX3CR1p_PB__CD212_sampled_i512_05_S5_L002_R1_001.fastq	ZG66	105hm	2021	9	14	DN_CX3CR1p	DN_CX3CR1p	PB	NA	CD212	ZG66 105hm 2021914 DN_CX3CR1p PB  CD212	258669	3124716	8.27816	100	GTAGCC	105.5
ZG66_106m_2021928_NK_BAL__CD212_sampled_i512_22_S21_L002_R1_001.fastq	ZG66	106m	2021	9	28	NK	NK	BAL	NA	CD212	ZG66 106m 2021928 NK BAL  CD212	823687	1789527	46.028196	100	GTAGCC	106
ZG66_105hm_2021914_CD16p_PB__CD211_sampled_i512_28_S24_L002_R1_001.fastq	ZG66	105hm	2021	9	14	CD16p	CD16+	PB	NA	CD211	ZG66 105hm 2021914 CD16p PB  CD211	1744343	4000000	43.608575	100	GTAGCC	105.5
ZG66_105hm_2021914_T_PB__CD211_sampled_i512_24_S21_L002_R1_001.fastq	ZG66	105hm	2021	9	14	T	T	PB	NA	CD211	ZG66 105hm 2021914 T PB  CD211	2669512	4000000	66.7378	100	GTAGCC	105.5
ZG66_105hm_2021914_Gr_PB__CD211_sampled_8bp_i501_S34_L002_R1_001.fastq	ZG66	105hm	2021	9	14	Gr	Gr	PB	NA	CD211	ZG66 105hm 2021914 Gr PB  CD211	3556867	4000000	88.921675	100	GTAGCC	105.5
ZG66_105hm_2021914_CD16p_CX3CR1p_PB__CD211_sampled_i512_31_S25_L002_R1_001.fastq	ZG66	105hm	2021	9	14	CD16p_CX3CR1p	CD16p_CX3CR1p	PB	NA	CD211	ZG66 105hm 2021914 CD16p_CX3CR1p PB  CD211	1658132	3334679	49.723886	100	GTAGCC	105.5
ZG66_106m_2021928_CD16p_CX3CR1p_PB__CD211_sampled_i512_37_S30_L002_R1_001.fastq	ZG66	106m	2021	9	28	CD16p_CX3CR1p	CD16p_CX3CR1p	PB	NA	CD211	ZG66 106m 2021928 CD16p_CX3CR1p PB  CD211	3043231	4000000	76.080775	100	GTAGCC	106
ZG66_106m_2021928_Mono_PB__CD211_sampled_i512_35_S28_L002_R1_001.fastq	ZG66	106m	2021	9	28	Mono	Mono	PB	NA	CD211	ZG66 106m 2021928 Mono PB  CD211	3621531	4000000	90.538275	100	GTAGCC	106
ZG66_106m_2021928_T_PB__CD211_sampled_i512_32_S26_L002_R1_001.fastq	ZG66	106m	2021	9	28	T	T	PB	NA	CD211	ZG66 106m 2021928 T PB  CD211	3381294	4000000	84.53235	100	GTAGCC	106
ZG66_105hm_2021914_B_PB__CD211_sampled_i512_25_S22_L002_R1_001.fastq	ZG66	105hm	2021	9	14	B	B	PB	NA	CD211	ZG66 105hm 2021914 B PB  CD211	2717379	4000000	67.934475	100	GTAGCC	105.5
ZG66_106m_2021928_Gr_PB__CD211_sampled_8bp_i502_S35_L002_R1_001.fastq	ZG66	106m	2021	9	28	Gr	Gr	PB	NA	CD211	ZG66 106m 2021928 Gr PB  CD211	3500775	4000000	87.519375	100	GTAGCC	106
ZG66_106m_2021928_CD16p_PB__CD211_sampled_i512_36_S29_L002_R1_001.fastq	ZG66	106m	2021	9	28	CD16p	CD16+	PB	NA	CD211	ZG66 106m 2021928 CD16p PB  CD211	2597907	4000000	64.947675	100	GTAGCC	106
ZG66_105hm_2021914_Mono_PB__CD211_sampled_i512_26_S23_L002_R1_001.fastq	ZG66	105hm	2021	9	14	Mono	Mono	PB	NA	CD211	ZG66 105hm 2021914 Mono PB  CD211	3458925	4000000	86.473125	100	GTAGCC	105.5
ZG66_106m_2021928_B_PB__CD211_sampled_i512_33_S27_L002_R1_001.fastq	ZG66	106m	2021	9	28	B	B	PB	NA	CD211	ZG66 106m 2021928 B PB  CD211	3503991	4000000	87.599775	100	GTAGCC	106
ZG66_104hm_2021817_DN_PB__CD210_rerun_sampled_8bp_i526_S21_L002_R1_001.fastq	ZG66	104hm	2021	8	17	DN	DN	PB	NA	CD210_rerun	ZG66 104hm 2021817 DN PB  CD210_rerun	180728	4000000	4.5182	100	GTAGCC	104.5
ZG66_104hm_2021817_DN_CXCR3p_PB__CD210_rerun_sampled_8bp_i529_S24_L002_R1_001.fastq	ZG66	104hm	2021	8	17	DN_CXCR3p	DN_CXCR3p	PB	NA	CD210_rerun	ZG66 104hm 2021817 DN_CXCR3p PB  CD210_rerun	242861	4000000	6.071525	100	GTAGCC	104.5
ZG66_104hm_2021817_CD56p_PB__CD210_rerun_sampled_8bp_i527_S22_L002_R1_001.fastq	ZG66	104hm	2021	8	17	CD56p	CD56+	PB	NA	CD210_rerun	ZG66 104hm 2021817 CD56p PB  CD210_rerun	275342	4000000	6.88355	100	GTAGCC	104.5
ZG66_104hm_2021817_CD16p_CXCR3p_PB__CD210_rerun_sampled_8bp_i528_S23_L002_R1_001.fastq	ZG66	104hm	2021	8	17	CD16p_CXCR3p	CD16p_CXCR3p	PB	NA	CD210_rerun	ZG66 104hm 2021817 CD16p_CXCR3p PB  CD210_rerun	93945	4000000	2.348625	100	GTAGCC	104.5
ZG66_104hm_2021817_T_PB__CD210_sampled_i512_36_S28_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	PB	NA	CD210	ZG66 104hm 2021817 T PB  CD210	1894993	4000000	47.374825	100	GTAGCC	104.5
ZG66_104hm_2021817_NK_Spleen__CD210_sampled_i512_16_S14_L002_R1_001.fastq	ZG66	104hm	2021	8	17	NK	NK	Spleen	NA	CD210	ZG66 104hm 2021817 NK Spleen  CD210	1595490	4000000	39.88725	100	GTAGCC	104.5
ZG66_104hm_2021817_B_Spleen__CD210_sampled_i512_28_S23_L002_R1_001.fastq	ZG66	104hm	2021	8	17	B	B	Spleen	NA	CD210	ZG66 104hm 2021817 B Spleen  CD210	3561809	4000000	89.045225	100	GTAGCC	104.5
ZG66_104hm_2021817_Macrophage_Spleen__CD210_sampled_i512_31_S24_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Macrophage	Macrophage	Spleen	NA	CD210	ZG66 104hm 2021817 Macrophage Spleen  CD210	2373805	4000000	59.345125	100	GTAGCC	104.5
ZG66_104hm_2021817_Macrophage_BAL__CD210_sampled_i512_25_S21_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Macrophage	Macrophage	BAL	NA	CD210	ZG66 104hm 2021817 Macrophage BAL  CD210	3665449	4000000	91.636225	100	GTAGCC	104.5
ZG66_104hm_2021817_T_Liver__CD210_sampled_i512_17_S15_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	Liver	NA	CD210	ZG66 104hm 2021817 T Liver  CD210	3387557	4000000	84.688925	100	GTAGCC	104.5
ZG66_104hm_2021817_CD16p_CX3CR1p_PB__CD210_sampled_i512_40_S32_L002_R1_001.fastq	ZG66	104hm	2021	8	17	CD16p_CX3CR1p	CD16p_CX3CR1p	PB	NA	CD210	ZG66 104hm 2021817 CD16p_CX3CR1p PB  CD210	2572049	4000000	64.301225	100	GTAGCC	104.5
ZG66_104hm_2021817_B_BAL__CD210_sampled_i512_22_S19_L002_R1_001.fastq	ZG66	104hm	2021	8	17	B	B	BAL	NA	CD210	ZG66 104hm 2021817 B BAL  CD210	2087198	3432661	60.804082	100	GTAGCC	104.5
ZG66_104hm_2021817_CD16p_PB__CD210_sampled_i512_39_S31_L002_R1_001.fastq	ZG66	104hm	2021	8	17	CD16p	CD16+	PB	NA	CD210	ZG66 104hm 2021817 CD16p PB  CD210	1755639	4000000	43.890975	100	GTAGCC	104.5
ZG66_104hm_2021817_B_PB__CD210_sampled_i512_37_S29_L002_R1_001.fastq	ZG66	104hm	2021	8	17	B	B	PB	NA	CD210	ZG66 104hm 2021817 B PB  CD210	3401094	4000000	85.02735	100	GTAGCC	104.5
ZG66_104hm_2021817_T_BAL__CD210_sampled_i512_32_S25_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	BAL	NA	CD210	ZG66 104hm 2021817 T BAL  CD210	1837735	4000000	45.943375	100	GTAGCC	104.5
ZG66_104hm_2021817_Macrophage_Colon__CD210_sampled_i512_15_S13_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Macrophage	Macrophage	Colon	NA	CD210	ZG66 104hm 2021817 Macrophage Colon  CD210	3352232	4000000	83.8058	100	GTAGCC	104.5
ZG66_104hm_2021817_T_Jejunum__CD210_sampled_i512_08_S6_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	Jejunum	NA	CD210	ZG66 104hm 2021817 T Jejunum  CD210	2078523	4000000	51.963075	100	GTAGCC	104.5
ZG66_104hm_2021817_Macrophage_Liver__CD210_sampled_i512_21_S18_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Macrophage	Macrophage	Liver	NA	CD210	ZG66 104hm 2021817 Macrophage Liver  CD210	3488681	4000000	87.217025	100	GTAGCC	104.5
ZG66_104hm_2021817_NK_Liver__CD210_sampled_i512_20_S17_L002_R1_001.fastq	ZG66	104hm	2021	8	17	NK	NK	Liver	NA	CD210	ZG66 104hm 2021817 NK Liver  CD210	1092546	3819939	28.601137	100	GTAGCC	104.5
ZG66_104hm_2021817_T_Spleen__CD210_sampled_i512_26_S22_L002_R1_001.fastq	ZG66	104hm	2021	8	17	T	T	Spleen	NA	CD210	ZG66 104hm 2021817 T Spleen  CD210	3199577	4000000	79.989425	100	GTAGCC	104.5
ZG66_104hm_2021817_Gr_PB__CD210_sampled_i512_35_S27_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Gr	Gr	PB	NA	CD210	ZG66 104hm 2021817 Gr PB  CD210	3675469	4000000	91.886725	100	GTAGCC	104.5
ZG66_104hm_2021817_Mono_PB__CD210_sampled_i512_38_S30_L002_R1_001.fastq	ZG66	104hm	2021	8	17	Mono	Mono	PB	NA	CD210	ZG66 104hm 2021817 Mono PB  CD210	3071367	4000000	76.784175	100	GTAGCC	104.5
ZG66_104hm_2021817_B_Colon__CD210_sampled_i512_13_S11_L002_R1_001.fastq	ZG66	104hm	2021	8	17	B	B	Colon	NA	CD210	ZG66 104hm 2021817 B Colon  CD210	2265093	2815672	80.445911	100	GTAGCC	104.5
ZG66_104hm_2021817_B_Jejunum__CD210_sampled_i512_09_S7_L002_R1_001.fastq	ZG66	104hm	2021	8	17	B	B	Jejunum	NA	CD210	ZG66 104hm 2021817 B Jejunum  CD210	1182003	4000000	29.550075	100	GTAGCC	104.5
ZG66_104hm_2021817_DN_CX3CR1p_PB__CD210_sampled_i512_33_S26_L002_R1_001.fastq	ZG66	104hm	2021	8	17	DN_CX3CR1p	DN_CX3CR1p	PB	NA	CD210	ZG66 104hm 2021817 DN_CX3CR1p PB  CD210	266672	4000000	6.6668	100	GTAGCC	104.5
ZG66_104hm_2021817_NK_Colon__CD210_sampled_i512_14_S12_L002_R1_001.fastq	ZG66	104hm	2021	8	17	NK	NK	Colon	NA	CD210	ZG66 104hm 2021817 NK Colon  CD210	981664	1811280	54.197253	100	GTAGCC	104.5
ZG66_104hm_2021817_NK_Jejunum__CD210_sampled_i512_10_S8_L002_R1_001.fastq	ZG66	104hm	2021	8	17	NK	NK	Jejunum	NA	CD210	ZG66 104hm 2021817 NK Jejunum  CD210	3011329	4000000	75.283225	100	GTAGCC	104.5
ZG66_104hm_2021817_NK_BAL__CD210_sampled_i512_24_S20_L002_R1_001.fastq	ZG66	104hm	2021	8	17	NK	NK	BAL	NA	CD210	ZG66 104hm 2021817 NK BAL  CD210	855959	3683615	23.236929	100	GTAGCC	104.5
ZG66_96m_20201130_NK_culture_B3_in_vitro_CD195_sampled_i512_20_S19_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B3	in vitro	CD195	ZG66 96m 20201130 NK culture_B3 in vitro CD195	1332034	4000000	33.30085	100	GTAGCC	96
ZG66_96m_20201130_NK_culture_B6_in_vitro_CD195_sampled_i512_25_S23_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B6	in vitro	CD195	ZG66 96m 20201130 NK culture_B6 in vitro CD195	2041631	4000000	51.040775	100	GTAGCC	96
ZG66_96m_20201130_NK_culture_B4_in_vitro_CD195_sampled_i512_21_S20_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B4	in vitro	CD195	ZG66 96m 20201130 NK culture_B4 in vitro CD195	2513937	4000000	62.848425	100	GTAGCC	96
ZG66_96m_20201130_NK_culture_B1_in_vitro_CD195_sampled_i512_26_S24_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B1	in vitro	CD195	ZG66 96m 20201130 NK culture_B1 in vitro CD195	3777328	4000000	94.4332	100	GTAGCC	96
ZG66_96m_20201130_NK_culture_B5_in_vitro_CD195_sampled_i512_22_S21_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B5	in vitro	CD195	ZG66 96m 20201130 NK culture_B5 in vitro CD195	1345959	4000000	33.648975	100	GTAGCC	96
ZG66_96m_20201130_PBMNC___CD195_sampled_i512_02_S2_L002_R1_001.fastq	ZG66	96m	2020	11	30	PBMNC	PBMNC	NA	NA	CD195	ZG66 96m 20201130 PBMNC   CD195	3543316	4000000	88.5829	100	GTAGCC	96
ZG66_96m_20201130_NK___CD195_sampled_i512_04_S4_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	NA	NA	CD195	ZG66 96m 20201130 NK   CD195	1919681	4000000	47.992025	100	GTAGCC	96
ZG66_96m_20201130_NK_culture_B2_in_vitro_CD195_sampled_i512_19_S18_L002_R1_001.fastq	ZG66	96m	2020	11	30	NK	NK	culture_B2	in vitro	CD195	ZG66 96m 20201130 NK culture_B2 in vitro CD195	1517974	4000000	37.94935	100	GTAGCC	96
ZG66_82hm_20191024_B__PB_CD181_sampled_I524_S20_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	B	B	NA	PB	CD181	ZG66 82hm 20191024 B  PB CD181	3397410	4000000	84.93525	100	GTAGCC	82.5
ZG66_82hm_20191024_Mono__PB_CD181_sampled_I526_S21_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	Mono	Mono	NA	PB	CD181	ZG66 82hm 20191024 Mono  PB CD181	3546203	4000000	88.655075	100	GTAGCC	82.5
ZG66_82hm_20191024_CD56pos_NK__PB_CD181_sampled_I528_S23_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	CD56pos NK	CD56+	NA	PB	CD181	ZG66 82hm 20191024 CD56pos NK  PB CD181	3323036	4000000	83.0759	100	GTAGCC	82.5
ZG66_82hm_20191024_Gr__PB_CD181_sampled_I522_S18_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	Gr	Gr	NA	PB	CD181	ZG66 82hm 20191024 Gr  PB CD181	3529281	4000000	88.232025	100	GTAGCC	82.5
ZG66_82hm_20191024_T__PB_CD181_sampled_I523_S19_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	T	T	NA	PB	CD181	ZG66 82hm 20191024 T  PB CD181	3377224	4000000	84.4306	100	GTAGCC	82.5
ZG66_82hm_20191024_CD16pos_NK__PB_CD181_sampled_I527_S22_L008_R1_001.fastq	ZG66	82hm	2019	NA	NA	CD16pos NK	CD16+	NA	PB	CD181	ZG66 82hm 20191024 CD16pos NK  PB CD181	2079766	4000000	51.99415	100	GTAGCC	82.5
ZG66__2019426_NKG2posCD56pos___CD177_sampled_I529_S24_L004_R1_001.fastq	ZG66	NA	2019	NA	NA	NKG2posCD56pos	CD56+	NA	NA	CD177	ZG66  2019426 NKG2posCD56pos   CD177	3373084	4000000	84.3271	100	GTAGCC	82.5
ZG66_14day_2019423_bulk_NKinK562_expansion_sort_CD3pos_CD174_sampled_I529_S24_L001_R1_001.fastq	ZG66	14day	2019	NA	NA	bulk	bulk	NKinK562	expansion sort CD3pos	CD174	ZG66 14day 2019423 bulk NKinK562 expansion sort CD3pos CD174	100966	2340006	4.314775	100	GTAGCC	NA
ZG66_76hm_2019426_NKG2posCD16posCD56pos___CD174_sampled_I501_S21_L001_R1_001.fastq	ZG66	76hm	2019	NA	NA	NKG2posCD16posCD56pos	NKG2posCD16+CD56+	NA	NA	CD174	ZG66 76hm 2019426 NKG2posCD16posCD56pos   CD174	3484545	4000000	87.113625	100	GTAGCC	76.5
ZG66_76hm_2019426_NKG2posCD16negCD56neg___CD174_sampled_I502_S22_L001_R1_001.fastq	ZG66	76hm	2019	NA	NA	NKG2posCD16negCD56neg	NKG2posCD16negCD56neg	NA	NA	CD174	ZG66 76hm 2019426 NKG2posCD16negCD56neg   CD174	3466952	4000000	86.6738	100	GTAGCC	76.5
ZG66_76hm_2019426_NKG2posKIRpos__not_pure_CD174_sampled_I528_S23_L001_R1_001.fastq	ZG66	76hm	2019	NA	NA	NKG2posKIRpos	NKG2posKIRpos	NA	not pure	CD174	ZG66 76hm 2019426 NKG2posKIRpos  not pure CD174	2261299	4000000	56.532475	100	GTAGCC	76.5
ZG66_76hm_2019426_NKG2posKIRnegNK___CD173_sampled_I510_S8_L008_R1_001.fastq	ZG66	76hm	2019	NA	NA	NKG2posKIRnegNK	NKG2posKIRnegNK	NA	NA	CD173	ZG66 76hm 2019426 NKG2posKIRnegNK   CD173	1003406	4000000	25.08515	100	GTAGCC	76.5
ZG66_21day_2019430_bulk_NKinLCL_expansion_CD172_sampled_I527_S22_L007_R1_001.fastq	ZG66	21day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD172	ZG66 21day 2019430 bulk NKinLCL expansion CD172	2855215	4000000	71.380375	100	GTAGCC	NA
ZG66_14day_2019423_bulk_NKinK562_expansion_restim_CD172_sampled_I512_S10_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	bulk	bulk	NKinK562	expansion restim	CD172	ZG66 14day 2019423 bulk NKinK562 expansion restim CD172	2536449	4000000	63.411225	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD16negCD56neg_NKinK562_expansion_CD172_sampled_I526_S21_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16negCD56neg	NKG2posCD16negCD56neg	NKinK562	expansion	CD172	ZG66 14day 2019423 NKG2posCD16negCD56neg NKinK562 expansion CD172	3455928	4000000	86.3982	100	GTAGCC	NA
ZG66_14day_2019423_bulk_NKinLCL_expansion_restim_CD172_sampled_I511_S9_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	bulk	bulk	NKinLCL	expansion restim	CD172	ZG66 14day 2019423 bulk NKinLCL expansion restim CD172	2116608	4000000	52.9152	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD16posCD56pos_NKinK562_expansion_CD172_sampled_I524_S20_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16posCD56pos	NKG2posCD16+CD56+	NKinK562	expansion	CD172	ZG66 14day 2019423 NKG2posCD16posCD56pos NKinK562 expansion CD172	3500749	4000000	87.518725	100	GTAGCC	NA
ZG66_7day_2019416_bulk_NKinK562_expansion_CD172_sampled_I505_S5_L007_R1_001.fastq	ZG66	7day	2019	NA	16	bulk	bulk	NKinK562	expansion	CD172	ZG66 7day 2019416 bulk NKinK562 expansion CD172	2483691	4000000	62.092275	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD56pos_NKinK562_expansion_CD172_sampled_I523_S19_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD56pos	NKG2posCD56+	NKinK562	expansion	CD172	ZG66 14day 2019423 NKG2posCD56pos NKinK562 expansion CD172	3572105	4000000	89.302625	100	GTAGCC	NA
ZG66_18day_2019427_bulk_NKinLCL_expansion_CD172_sampled_I514_S11_L007_R1_001.fastq	ZG66	18day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD172	ZG66 18day 2019427 bulk NKinLCL expansion CD172	2704294	4000000	67.60735	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD16posCD56pos_NKinLCL_expansion_CD172_sampled_I519_S15_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16posCD56pos	NKG2posCD16+CD56+	NKinLCL	expansion	CD172	ZG66 14day 2019423 NKG2posCD16posCD56pos NKinLCL expansion CD172	3505153	4000000	87.628825	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD16pos_NKinK562_expansion_CD172_sampled_I522_S18_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16pos	CD16+	NKinK562	expansion	CD172	ZG66 14day 2019423 NKG2posCD16pos NKinK562 expansion CD172	1921064	4000000	48.0266	100	GTAGCC	NA
